#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
The cat is black.	这只猫是黑色的。	形容词 - 基本描述: 描述人或事物的特征。 
The sky is blue.	天空是蓝色的。	形容词 - 基本描述: 描述人或事物的特征。 
The flower is red.	这朵花是红色的。	形容词 - 基本描述: 描述人或事物的特征。 
The book is old.	这本书很旧。	形容词 - 基本描述: 描述人或事物的特征。 
The food is delicious.	这食物很美味。	形容词 - 基本描述: 描述人或事物的特征。 
The house is big.	这房子很大。	形容词 - 基本描述: 描述人或事物的特征。 
The car is fast.	这辆车很快。	形容词 - 基本描述: 描述人或事物的特征。 
The coffee is hot.	这咖啡很热。	形容词 - 基本描述: 描述人或事物的特征。 
The water is cold.	这水很冷。	形容词 - 基本描述: 描述人或事物的特征。 
The room is clean.	这房间很干净。	形容词 - 基本描述: 描述人或事物的特征。 
The test is easy.	这个测试很容易。	形容词 - 基本描述: 描述人或事物的特征。 
The problem is difficult.	这个问题很困难。	形容词 - 基本描述: 描述人或事物的特征。 
The movie is interesting.	这部电影很有趣。	形容词 - 基本描述: 描述人或事物的特征。 
The music is loud.	这音乐很吵。	形容词 - 基本描述: 描述人或事物的特征。 
The pillow is soft.	这枕头很软。	形容词 - 基本描述: 描述人或事物的特征。 
He is happy.	他很高兴。	形容词 - 基本描述: 描述人或事物的特征。 
She is sad.	她很伤心。	形容词 - 基本描述: 描述人或事物的特征。 
They are tall.	他们很高。	形容词 - 基本描述: 描述人或事物的特征。 
It is small.	它很小。	形容词 - 基本描述: 描述人或事物的特征。 
We are busy.	我们很忙。	形容词 - 基本描述: 描述人或事物的特征。 
